"rank_gen","rank_epi","col"
2.23,2.225,"darkgray"
3.455,2.025,"deepskyblue"
4.28,5,"red"
2.95477386934673,2.915,"darkgray"
2.575,2.565,"darkgray"
2.65,2.06,"deepskyblue"
3.72,4,"red"
3.66497461928934,4,"red"
2.24,2.77,"red"
1.915,1.53,"deepskyblue"
3.13065326633166,2.835,"darkgray"
4.88235294117647,4.86885245901639,"darkgray"
1.91959798994975,2.01,"darkgray"
3.15,1.93467336683417,"deepskyblue"
3.345,4,"red"
2.62,1.15075376884422,"deepskyblue"
3.46,3.38,"darkgray"
3.615,1.375,"deepskyblue"
3.37,2.975,"deepskyblue"
3.375,4,"red"
2.5978835978836,1,"deepskyblue"
4.315,5,"red"
2.66,2.42,"deepskyblue"
2.21,2.16,"darkgray"
3.615,2.6,"deepskyblue"
3.78,2.05,"deepskyblue"
3.5929648241206,3.06532663316583,"deepskyblue"
2.655,2.17676767676768,"deepskyblue"
3.43,2.9,"deepskyblue"
3.705,3.26,"deepskyblue"
4.42,2.25252525252525,"deepskyblue"
1.905,2.235,"red"
2.23463687150838,2.17610062893082,"darkgray"
3.235,2.66331658291457,"deepskyblue"
2.845,2.825,"darkgray"
2.67,1.47738693467337,"deepskyblue"
4.165,3.96,"darkgray"
2.915,3.36,"red"
3.195,2.39698492462312,"deepskyblue"
2.31382978723404,2.24226804123711,"darkgray"
3.35,2.715,"deepskyblue"
3.775,3.545,"deepskyblue"
1.695,1.75,"darkgray"
3.76,3.65,"darkgray"
2.50505050505051,2.64285714285714,"darkgray"
2.72,2.565,"darkgray"
2.595,2.945,"red"
4.02,3.655,"deepskyblue"
2.82,3.105,"darkgray"
1.42,1.245,"darkgray"
3.565,3.095,"deepskyblue"
3.08,2.755,"deepskyblue"
3.975,3.615,"deepskyblue"
2.44,1.835,"deepskyblue"
2.825,3.24,"red"
4.415,3.49484536082474,"deepskyblue"
2.15789473684211,2.01522842639594,"darkgray"
1.905,2.035,"darkgray"
4.04,3.365,"deepskyblue"
2.215,3.015,"red"
4.64795918367347,4.63917525773196,"darkgray"
2.77,2.635,"darkgray"
1.985,2.12,"darkgray"
4.53,3.25,"deepskyblue"
2.845,2.71,"darkgray"
1.535,1.71,"darkgray"
2.81,2.38,"deepskyblue"
3.97,3.825,"darkgray"
2.37,2.695,"red"
4.695,3.67,"deepskyblue"
3.04,2.47,"deepskyblue"
4.225,2.62944162436548,"deepskyblue"
4.85,5,"red"
3.945,2.605,"deepskyblue"
3.9,2.445,"deepskyblue"
3.18,3.07,"darkgray"
2.635,2.54,"darkgray"
3.985,2.635,"deepskyblue"
4.03517587939699,3.14070351758794,"deepskyblue"
1.55,2.035,"red"
3.25,3.52,"darkgray"
4.355,5,"red"
2.01005025125628,2.01030927835052,"darkgray"
3.64,4.365,"red"
2.545,2.5,"darkgray"
4.38578680203046,4.50251256281407,"darkgray"
2.87,2.685,"darkgray"
3.695,5,"red"
3.35643564356436,2.165,"deepskyblue"
3.77386934673367,3.73,"darkgray"
4.13,2.235,"deepskyblue"
2.42708333333333,2.31155778894472,"darkgray"
3.35,2.405,"deepskyblue"
2.435,2.57,"darkgray"
2.975,2.4311377245509,"deepskyblue"
2.41,1.655,"deepskyblue"
2.485,2.145,"darkgray"
3.67,2.08080808080808,"deepskyblue"
3.69346733668342,1.77272727272727,"deepskyblue"
3.23,3.03,"darkgray"
3.61306532663317,2.37185929648241,"deepskyblue"
4.475,5,"red"
2.71794871794872,1.88947368421053,"deepskyblue"
3.3,3.81,"red"
1.872,1.00507614213198,"deepskyblue"
3.77,2.39,"deepskyblue"
3.855,2.36458333333333,"deepskyblue"
3.375,3.68,"darkgray"
4.25,4.065,"darkgray"
4.515,4.325,"darkgray"
2.92670157068063,2.27692307692308,"deepskyblue"
3.895,4.985,"red"
3.33112582781457,3.26,"darkgray"
2.435,1.97,"deepskyblue"
3.24,1.66497461928934,"deepskyblue"
3.865,3.15,"deepskyblue"
