mu,cond,mean,lower,upper
1.00E-07,gen,3.236218,3.184362,3.28806
1.00E-07,epi,3.069946,3.00526,3.134777
3.33E-07,gen,3.164471,3.105704,3.222781
3.33E-07,epi,2.852455,2.781086,2.925223
1.00E-06,gen,3.202729,3.132731,3.272416
1.00E-06,epi,2.748592,2.668781,2.829589
3.33E-06,gen,3.22717,3.138155,3.315401
3.33E-06,epi,2.658709,2.567788,2.749901
1.00E-05,gen,3.120618,3.024172,3.217509
1.00E-05,epi,2.539991,2.443616,2.636434
3.33E-05,gen,2.545619,2.411574,2.680472
3.33E-05,epi,2.173665,2.041715,2.307476
