"rank_gen","rank_epi","col"
2.4,2.6,"darkgray"
2.5,3,"red"
1.505,1.10552763819095,"deepskyblue"
3.11111111111111,2.03030303030303,"deepskyblue"
3.58585858585859,2.23115577889447,"deepskyblue"
2.02051282051282,1.94949494949495,"darkgray"
2.45,2.32,"darkgray"
3.38190954773869,3.995,"red"
2.61,1.87373737373737,"deepskyblue"
2.28,1.915,"deepskyblue"
3.89,3.31,"deepskyblue"
3.435,4,"red"
1.88442211055276,1.725,"darkgray"
2.35,2.35,"darkgray"
3.24,1.895,"deepskyblue"
2.545,2.96,"red"
2.735,3.035,"darkgray"
1.64467005076142,1.87,"darkgray"
3.225,2.155,"deepskyblue"
2.18,2.07,"darkgray"
2.98994974874372,2.99,"darkgray"
3.62,1.81958762886598,"deepskyblue"
2.51,2.58,"darkgray"
3.125,4,"red"
2.915,2.555,"deepskyblue"
2.125,1.92820512820513,"darkgray"
2.805,2.785,"darkgray"
1.075,1.67,"red"
1.38,1.38,"darkgray"
3.405,3.97,"red"
3.01129943502825,2.33838383838384,"deepskyblue"
2.625,1.365,"deepskyblue"
2.14948453608247,2.1,"darkgray"
1.845,2.285,"red"
2.42,1.84,"deepskyblue"
3.185,2.66,"deepskyblue"
2.15,1.15,"deepskyblue"
2.72,1.9774011299435,"deepskyblue"
3.745,3.31,"deepskyblue"
2.04,1.63,"deepskyblue"
1.695,2.135,"red"
2.64,2.38578680203046,"deepskyblue"
2.64,2.69,"darkgray"
2.93,2.73,"darkgray"
3.885,3.255,"deepskyblue"
2.025,1.37,"deepskyblue"
1.71717171717172,2.04,"red"
2.585,1.24747474747475,"deepskyblue"
1.885,2.32,"red"
2.34170854271357,2.5427135678392,"darkgray"
2.155,2.29,"darkgray"
2.86934673366834,2.80402010050251,"darkgray"
2.935,2.565,"deepskyblue"
2.38,1.975,"deepskyblue"
3.18592964824121,1.39583333333333,"deepskyblue"
2.48743718592965,2.855,"red"
2.48730964467005,2.39175257731959,"darkgray"
2.715,2.43,"deepskyblue"
3.32828282828283,4,"red"
