"rank_gen","rank_epi","col"
2.925,2.43,"darkgray"
5.01,6,"red"
4.185,3.58793969849246,"deepskyblue"
3.22,3.10714285714286,"darkgray"
4.8,3.945,"deepskyblue"
2.72,1.98484848484848,"deepskyblue"
3.475,3.4572864321608,"darkgray"
4.92,1.71428571428571,"deepskyblue"
2.675,1.765,"deepskyblue"
3.85,1.57788944723618,"deepskyblue"
5.321608040201,4.93969849246231,"darkgray"
4.465,3.8,"deepskyblue"
4.89893617021277,2.92929292929293,"deepskyblue"
4.855,4.54040404040404,"darkgray"
2.75,1.91,"deepskyblue"
4.79381443298969,2.56281407035176,"deepskyblue"
3.795,3.03,"deepskyblue"
5.505,5.45,"darkgray"
5.955,5.395,"deepskyblue"
3.8030303030303,1.83505154639175,"deepskyblue"
4.73,1.42131979695431,"deepskyblue"
3.565,3.71,"darkgray"
4.385,3.57788944723618,"deepskyblue"
4.15,2.465,"deepskyblue"
2.885,2.015,"deepskyblue"
4.395,6,"red"
4.35,1.905,"deepskyblue"
3.885,4.075,"darkgray"
4.26,2.13,"deepskyblue"
2.36683417085427,2.07,"darkgray"
3.43915343915344,3.835,"darkgray"
3.84,3.3756345177665,"deepskyblue"
3.875,3.98,"darkgray"
2.62,2.15,"deepskyblue"
4.585,4.965,"red"
4.655,5,"red"
3.105,2.705,"deepskyblue"
5.65326633165829,2.07,"deepskyblue"
4.76884422110553,3.50761421319797,"deepskyblue"
3.65,3.6,"darkgray"
3.245,3.025,"darkgray"
3.04026845637584,1.69078947368421,"deepskyblue"
4.605,1.81,"deepskyblue"
3.815,3.71,"darkgray"
3.28717948717949,2.41621621621622,"deepskyblue"
4.355,2.215,"deepskyblue"
2.545,2.675,"darkgray"
5.54,5.585,"darkgray"
2.665,3.925,"red"
4.82,3.08585858585859,"deepskyblue"
3.565,2.745,"deepskyblue"
2.905,2.3,"deepskyblue"
5.225,5.45,"darkgray"
4.64,4.51,"darkgray"
4.79381443298969,2.65,"deepskyblue"
3.6,3.75,"darkgray"
2.945,2.905,"darkgray"
3.68205128205128,3.48186528497409,"darkgray"
3.28,2.33,"deepskyblue"
1.97,2.77,"red"
4.53,4.255,"deepskyblue"
2.675,3.135,"darkgray"
3.625,3.265,"darkgray"
5.125,6,"red"
3.73,3.6,"darkgray"
3.97,2.96,"deepskyblue"
3.455,3.025,"deepskyblue"
5.225,6,"red"
2.29,2.45,"darkgray"
5.375,4.1,"deepskyblue"
5.04,5.1,"darkgray"
4.245,3.51,"deepskyblue"
4.655,3.61,"deepskyblue"
4.965,5.53,"red"
3.76,3.59,"darkgray"
2.3,2.18,"darkgray"
4.225,2.735,"deepskyblue"
5.19642857142857,3.06,"deepskyblue"
4.65,3.935,"deepskyblue"
3.855,3.935,"darkgray"
4.565,1.335,"deepskyblue"
5.125,3.03,"deepskyblue"
1.9,2.345,"red"
3.78,4.13,"darkgray"
