"rank_gen","rank_epi","col"
2.63739,2.82,""
2.969215,2.15,""
2.72911,2.96,""
3.44045,3.46464646464646,""
1.423785,2.61,""
1.89953,1.94,""
1,1,""
2.12706,2.82,""
2.656415,2.31,""
1.623735,1.56,""
3.223935,3.14,""
2,2,""
1.925755,2.61,""
1.02927,1.04,""
3,3,""
2.494125,2.47,""
2.61373,2.58,""
4.111535,4.4,""
1,1,""
3,3,""
1.37734,1.24,""
1.530385,1.73,""
3.98992,4,""
1.796415,1.47,""
2.1438,2.17204301075269,""
2.91941,3.01,""
2.23897,2.46,""
1.336165,1.38,""
1.890265,1.46,""
3.015785,3.03,""
1.329325,1.67676767676768,""
3,3,""
1.35711,1.22,""
1.20523,1.27,""
3.97996,4,""
1.4483,1.75,""
2.61274,2.73,""
4,4.02020202020202,""
3.25091,3.43,""
2.60546,2.58,""
1.51247,2.05,""
2.53172,2.57,""
2.839365,3.13,""
2.25033,2.32,""
3.48222,4.7,""
1.00506,1,""
1.014725,1,""
4,4,""
4.565625,4.39,""
1.240925,1.16,""
1.50167,2.84,""
4.369175,4.34,""
2.525755,2.22,""
1.34724,1.46,""
2.13126,2.72,""
2,2,""
1,1,""
1,1,""
2.051755,2.17,""
1,1.03,""
1.32231,1.21,""
3.269215,3.21,""
1.18516,1.03,""
1.995215,2.14,""
4,4,""
1.703035,1.52,""
2.35102,2.33,""
1.344855,1.73,""
1,1,""
2.92536,2.98,""
1,1.07,""
1.03077,1.04,""
1,1,""
2.47,2.43,""
1.11886,1.4,""
2.01925,2.05,""
1.593515,1.34,""
1.32464,1.18,""
1.0097,1.03,""
1,1,""
4.304065,4.3,""
1.87708,1.94,""
2,2,""
2.26948,2.28,""
2.811635,3.88,""
3.19537,3.19,""
1.36017894736842,1.22,""
1.05081,1.39,""
1.91386,1.97,""
1.807735,1.91,""
1.21205555555556,1.23,""
1.16114,1.12,""
1.180585,1.15,""
3,3,""
3.66811,3.65,""
2,2,""
1.99220454545455,2.52525252525253,""
1.28497,1.29,""
1.985045,1.98,""
1.14397,1.1,""
1,1,""
1.630605,1.56,""
2.31021105527638,2.52525252525253,""
2,2,""
1,1,""
1.05952,1.1,""
2.506425,2.63,""
3.35582,3.35,""
2.97423,3.82,""
1.124185,1.15,""
1.29143,1,""
1.96408,1.96,""
2.611955,2.54,""
1.695445,1.94,""
3.014605,3.01,""
3,3,""
1,1,""
2.34446,2.26,""
3.270525,3.33,""
2,2,""
2.994975,3,""
2.063885,2.16,""
2.09107,2.38383838383838,""
1.42078,1.43,""
1.522405,1.99,""
2.33732,2.02,""
1.22772,1.29,""
2.267515,2.21,""
2.104435,2.22,""
1.410295,1.71,""
2,2,""
1.54688324873096,1.56565656565657,""
5,5,""
1.805495,1.42,""
1.19867,1.03,""
2.37944,2.51,""
1.74530653266332,1.35051546391753,""
2.215865,1.45,""
3.13998,4.86,""
3.494035,3.55,""
1.245055,1.23,""
1,1.2,""
1.93352261306533,1.77,""
2.0798,2.17,""
1.749725,1.79,""
3.31046,3.29,""
1,1,""
1.9995,1.89,""
1.255375,1.3,""
2.090845,2.09,""
1.763255,1.89,""
1.438535,1.8,""
1.33446,1.19,""
1.914565,2.05,""
4.319085,4.47,""
1.14082383419689,1.31578947368421,""
1.03054,1.25,""
4,4,""
1.45069,1.36,""
2,2,""
3.24064,3.39,""
1.36163,1.48,""
2.8181329787234,2.98,""
2.97118,2.98,""
2.037425,2.22,""
1.28968,1.38,""
3.356875,3.75,""
3,2.98,""
1.83444,3.89,""
1.95871,2.01,""
2.22534,2.07,""
1.3888,1.64,""
1.96429,2.01,""
2.47861363636364,1.63953488372093,""
1.558735,1.8,""
1.730725,2.38,""
3.34753,3.26,""
1.49556,1.74,""
2.49007,2.54,""
1.210695,1.27,""
1.64992,1.73,""
2.29345,2.12,""
1,1,""
1.210225,1.47474747474747,""
1.64232,1.82,""
1.427065,1.61,""
4.327865,4.44,""
4,4,""
1.869055,2.67,""
1.86463,2,""
1.6752,2.45,""
2.67926,2.76,""
1.3093,1.42,""
2,2,""
1.20635,1.33,""
3.30963,3.72,""
2.67965,2.68,""
1.480675,1.24,""
3.4143282051282,3.98,""
1.74105,1.66,""
1.72797,1.7,""
3.52324,3.28,""
