rank_gen,rank_epi,col
2.32,2.26,
1.625,2.05,
5,5,
2.835,2.905,
2.735,2.41,
2.1,2.1,
4,4,
4,4,
2.915,2.57,
1.49,1.47,
2.773869347,2.994974874,
4.921875,4.847457627,
2.305,2.155778894,
1.54,1.812182741,
4,4,
1.21,1.211055276,
3.43,3.475,
1.175,1.37,
2.99,3.145,
4,4,
1,1.04040404,
5,5,
2.275,2.39,
2.01,2.095,
2.335,2.628140704,
2.455,1.965,
1.83919598,2.934010152,
1.954773869,2.24,
2.285,3.03,
2.85,3.16080402,
1.775,2.02020202,
2.7,2.48,
2.757961783,1.967741935,
2.333333333,2.658291457,
2.865,2.72,
1.306532663,1.351758794,
3.58,4.24,
3.515,3.18,
2.64,2.507537688,
2.268041237,2.381909548,
2.375,2.615,
3.515,3.63,
1.625,1.525,
3.64,3.455,
2.975,2.708542714,
2.665,2.685,
2.68,2.81,
3.775,3.775,
3.24,3.195,
1.215,1.165,
2.835,3.045,
2.73,2.695,
3.005,3.655,
1.63,1.73,
2.945,3.245,
2.126262626,3.401015228,
1.612244898,2.305263158,
1.705,2.07,
3.21,3.24,
3.2,2.775,
4.838383838,4.618090452,
2.71,2.67,
2.135,2.13,
2.07,3.32,
3.065,2.725,
1.705,1.74,
2.285,2.3,
3.525,3.795,
2.695,2.645,
3.36,3.59798995,
2.24,2.305,
2.185,2.876923077,
5,4.98,
2.61,2.582914573,
2.595,2.804020101,
2.895,3.015,
2.38,2.4,
2.4,2.515,
2.1,3.136363636,
2.395,1.965,
2.79,3.605,
5,5,
2.427835052,2.005291005,
3.985,4.36,
3.16,2.34,
4.76142132,4.62,
3.055,2.535,
5,5,
2.07,1.99,
3.88,3.6,
2.375,2.27,
2.14,2.195,
2.475,2.305,
2.6,2.675,
1.666666667,2.409638554,
2.035,1.575,
1.825,2.235,
1.53,2.01,
1.59798995,1.736040609,
2.69,2.83,
2.465,2.346733668,
5,5,
1.752631579,1.883597884,
4.305,3.82,
1.01,1.015228426,
2.19,2.48,
2.257731959,2.434343434,
3.78,3.6,
3.12,3.96,
3.955,4.055,
1.623036649,2.481283422,
5,5,
3.05,3.415,
1.96,2.045,
1.585858586,1.874371859,
2.98,3.07,
3.26,3.26,
3.89,3.939698492,
4.095959596,3.686868687,
2.95,2.84,
1.221621622,1.519337017,
2.425,2.47,
1.765,1.89,
3.13,3.19,
1.33,1.45,
2.89,3.060913706,
2.135,2.407035176,
2.14,2.82,
3.060301508,3.277777778,
2.94,3.295,
2.725,2.9,
3.225,3.07,
1.38071066,2.346938776,
2.035175879,2.188172043,
4.96,4.78,
2.43,2.555,
2.235,2.858585859,
3.695,3.525,
3,3,
1.985,2.02,
3.515,3.425,
1.99,1.94,
3.085,3.27,
1.94,2.175,
3.21,3.3,
3.855,4.06,
3.266331658,3.555,
3.145,3.215,
2.335,2.664974619,
2.66,2.895,
1.09,1.41,
1.85,1.765,
3.545,4.265,
3.663316583,3.655,
2.13,2.612244898,
5,5,
1.93,1.9,
1.145,1.417085427,
4.190954774,2.730964467,
3.645,3.865,
2.365,1.435,
3.355,2.681818182,
3.28,3.75,
1.16080402,1.225274725,
3,3,
1.059701493,1.014285714,
1.975,1.985,
3.955,3.84,
3.41,3.705,
2.485,2.93,
1.49,1.808080808,
2.26,2.46,
1.22,1.326633166,
3.125,2.985,
1.854271357,2.195979899,
2.01,1.94,
4,4,
1.58,1.63,
1.35,1.497487437,
3.565,3.58,
1.472081218,2.24,
1.935,2.040201005,
1.276243094,3.119565217,
3.57,3.365,
1.29,1.095,
2.195,2.255,
2.889447236,2.75879397,
2.49,2.396984925,
2.735,3.93,
