mu,cond,mean,lower,upper,meanfit,lower_fit,upper_fit
1.00E-07,gen,0.1640461,0.142316,0.1865654,1.839664,1.822546,1.856627
1.00E-07,epi,0.1867925,0.1599657,0.2151931,1.86296,1.842605,1.883162
3.33E-07,gen,0.1803628,0.1545672,0.2069982,1.870056,1.85104,1.889142
3.33E-07,epi,0.2342481,0.2030986,0.2665123,1.914546,1.891647,1.937531
1.00E-06,gen,0.1690182,0.140198,0.1992076,1.868057,1.846733,1.889614
1.00E-06,epi,0.2549056,0.2198497,0.2911156,1.930803,1.906244,1.955313
3.33E-06,gen,0.1632078,0.1274579,0.2009956,1.870382,1.84604,1.894934
3.33E-06,epi,0.269148,0.2246798,0.3153157,1.942106,1.915836,1.968661
1.00E-05,gen,0.1795919,0.138169,0.2235114,1.885759,1.86028,1.911605
1.00E-05,epi,0.2857338,0.2354438,0.3376459,1.954642,1.928167,1.981822
3.33E-05,gen,0.2728818,0.2293504,0.3184333,1.94986,1.926992,1.972975
3.33E-05,epi,0.369166,0.3174365,0.4221155,2.004484,1.980325,2.028978
