npeaks,cond,mean,lower,upper
1,gen,,,
1,epi,,,
2,gen,1.546445,1.26125,1.82
2,epi,1.46826,1.19375,1.7475
3,gen,1.803573,1.652636,1.956676
3,epi,1.702502,1.563513,1.846315
4,gen,2.177125,2.05292,2.30322
4,epi,1.934815,1.827379,2.045317
5,gen,2.534485,2.412264,2.65902
5,epi,2.274904,2.164673,2.387916
6,gen,2.977142,2.806586,3.149211
6,epi,2.544876,2.409749,2.683433
7,gen,3.299054,3.021824,3.585724
7,epi,2.665989,2.440406,2.899135
8,gen,4.033183,3.423652,4.662195
8,epi,3.216686,2.734989,3.730355
9,gen,,,
9,epi,,,
