delrank,epinumpeaks5
-0.52,5
-0.16,5
-0.12,5
0.19,3
0.75,4
0.05,5
0.24,4
0.35,4
1.99,3
0.09,5
0.28,5
0,5
0.28,2
-0.07,5
0,5
0.179120879,4
-0.39,5
0.45,5
1.22,4
0,5
0,5
0.31,4
0,4
-0.12,5
1.310430108,4
0.1,4
0.12,5
-0.33,5
3.54,4
-0.05,5
2.4,4
-0.62,5
-0.06,5
0.04,4
0,5
0.44,4
0.06,5
0.94,4
0.801313131,4
1.446530612,4
1.9,4
0.15,5
0.27,5
0,4
0.31,5
-0.02,5
-0.01,5
-0.54,5
0.13,5
0.4,5
1.2,5
-0.39,5
-0.1,5
0.44,3
0.38,5
0,4
4,4
0,5
0.02,4
1.02,4
-0.34,5
0.1,5
0,5
0.08,4
0,3
-0.19,5
0.03,5
0.18,5
0.45,3
0.07,5
3.92,4
0.06,5
0.51,4
-0.04,5
-0.36,5
0.51,5
-0.31,4
-0.03,5
0.05,4
0,5
-0.44,5
-0.02,5
0,3
0.8,4
0.21,5
0.07,4
0.457171717,4
0.9,3
0.23,5
0.02,5
0.230055659,5
0.32,5
0.09,4
0,5
-0.03,5
0,5
1.027777778,3
0.32,4
-0.02,5
-0.18,5
1.04,3
0.29,4
1.67,4
0,5
0.18,4
0.46,3
0.25,4
-0.15,5
0.72,5
0.24,4
-0.02,5
-0.05,5
-0.04,5
2.898989899,3
0,5
0,5
0.64,3
-0.03,5
-0.01,5
0,5
0,5
0.12,5
1.527878788,4
1.83,4
-0.15,5
0.33,5
0.05,5
-0.06,5
1.14,4
-0.23,5
0.3,3
-0.2,5
-0.08,5
-0.02,5
0,5
0.206666667,4
2.731958763,4
3.06,4
0.28,4
0.02,5
-0.05,5
3.28,2
-0.07,5
-0.18,5
0.22,4
-0.32,5
0.34,4
-0.3,5
0.07,5
-0.01,5
0.26,4
-0.09,5
0.42,5
-0.22,5
0.13,5
0.957446809,4
0.19,3
0,5
-0.03,5
0,4
-0.04,5
0.08,5
-0.04,5
-0.08,3
0.06,5
0.822244898,3
-0.22,5
0.3,3
0.12,5
-0.14,5
1.26,4
1.37,4
0,5
0.065789474,5
0.806938776,4
0.69,4
0.14,5
0.09,5
0.07,5
-0.08,5
0.07,3
-0.04,5
0.714285714,4
0.98,3
-0.04,5
0.12,4
-0.06,5
-0.25,5
0.38,4
0.03,5
0.167590361,5
-0.17,5
-0.22,4
0.06,4
0.15,4
0.16,4
0.02,5
-0.17,5
0.06,5
-0.06,5
0.1,4
-0.24,5
0.16,5
0.01,4
0,4
-1.38,5
0,5
-0.17,5
0.587628866,5
0,5
0,4
0.09,5
0.74,5
-0.37,5
0.15,5
0.22,5
-0.03030303,5
0.16,5
-0.02,4
-0.03,4
0.16,4
0.56,4
0.04,5
0,5
0.03,5
-0.43,5
0.42,4
-0.11,5
-0.15,5
-0.39,5
-0.09,5
0.53,3
0.13,6
-0.3,5
0.03,5
0.05,5
-0.21,5
-0.66,4
0.06,5
0.15,4
0.26,5
-0.09,5
0.2,5
-0.04,5
0.05,5
0.96,5
0,5
0,4
-0.19,5
0.31,3
-0.1,5
-0.02,5
0,5
0.41,3
0.82,3
0.27,4
0.04,5
-0.04,4
0.13,4
0.06,5
0,5
0.06,5
0.006956522,5
0,5
-0.24,4
-0.24,5
0.28,5
0.333333333,5
0,4
1.06,4
-0.15,5
-0.05,5
-0.26,4
-0.18,5
0.22,5
0.92,4
0,4
0.12,4
-0.06,4
-0.05,5
0.085306122,5
0.02,4
1.58,3
2.86,4
0.83,4
0.25,4
0.16,5
0.11,5
